MonthDay;Hour of day;Consumption;Rate
12/14;1;0.28;Off-peak
12/14;2;0.29;Off-peak
12/14;3;0.28;Off-peak
12/14;4;0.28;Off-peak
12/14;5;0.4;Off-peak
12/14;6;0.31;Off-peak
12/14;7;0.3;Off-peak
12/14;8;0.33;On-peak
12/14;9;0.26;On-peak
12/14;10;0.32;On-peak
12/14;11;0.35;On-peak
12/14;12;0.53;Mid-peak
12/14;13;0.56;Mid-peak
12/14;14;0.33;Mid-peak
12/14;15;0.33;Mid-peak
12/14;16;0.39;Mid-peak
12/14;17;0.36;Mid-peak
12/14;18;0.45;On-peak
12/14;19;0.4;On-peak
12/14;20;0.48;Off-peak
12/14;21;0.44;Off-peak
12/14;22;0.56;Off-peak
12/14;23;0.43;Off-peak
12/15;0;0.39;Off-peak
12/15;1;0.3;Off-peak
12/15;2;0.27;Off-peak
12/15;3;0.27;Off-peak
12/15;4;0.31;Off-peak
12/15;5;0.29;Off-peak
12/15;6;0.28;Off-peak
12/15;7;0.3;Off-peak
12/15;8;0.33;On-peak
12/15;9;0.28;On-peak
12/15;10;0.34;On-peak
12/15;11;0.39;On-peak
12/15;12;0.47;Mid-peak
12/15;13;0.47;Mid-peak
12/15;14;0.37;Mid-peak
12/15;15;0.32;Mid-peak
12/15;16;0.38;Mid-peak
12/15;17;0.47;Mid-peak
12/15;18;0.62;On-peak
12/15;19;0.54;On-peak
12/15;20;0.37;Off-peak
12/15;21;0.48;Off-peak
12/15;22;0.45;Off-peak
12/15;23;0.4;Off-peak
12/16;0;0.32;Off-peak
12/16;1;0.32;Off-peak
12/16;2;0.27;Off-peak
12/16;3;0.28;Off-peak
12/16;4;0.3;Off-peak
12/16;5;0.29;Off-peak
12/16;6;0.28;Off-peak
12/16;7;0.32;Off-peak
12/16;8;0.33;On-peak
12/16;9;0.36;On-peak
12/16;10;0.37;On-peak
12/16;11;0.33;On-peak
12/16;12;0.35;Mid-peak
12/16;13;0.39;Mid-peak
12/16;14;0.4;Mid-peak
12/16;15;0.34;Mid-peak
12/16;16;0.25;Mid-peak
12/16;17;0.38;Mid-peak
12/16;18;0.31;On-peak
12/16;19;0.28;On-peak
12/16;20;0.34;Off-peak
12/16;21;0.32;Off-peak
12/16;22;0.41;Off-peak
12/16;23;0.35;Off-peak
12/17;0;0.3;Off-peak
12/17;1;0.28;Off-peak
12/17;2;0.29;Off-peak
12/17;3;0.31;Off-peak
12/17;4;0.29;Off-peak
12/17;5;0.31;Off-peak
12/17;6;0.29;Off-peak
12/17;7;0.26;Off-peak
12/17;8;0.38;Off-peak
12/17;9;0.37;Off-peak
12/17;10;0.34;Off-peak
12/17;11;0.41;Off-peak
12/17;12;0.3;Off-peak
12/17;13;0.28;Off-peak
12/17;14;0.28;Off-peak
12/17;15;0.48;Off-peak
12/17;16;0.43;Off-peak
12/17;17;1.29;Off-peak
12/17;18;3.74;Off-peak
12/17;19;0.48;Off-peak
12/17;20;0.29;Off-peak
12/17;21;0.28;Off-peak
12/17;22;0.3;Off-peak
12/17;23;0.27;Off-peak
12/18;0;0.39;Off-peak
12/18;1;0.29;Off-peak
12/18;2;0.31;Off-peak
12/18;3;0.29;Off-peak
12/18;4;0.27;Off-peak
12/18;5;0.29;Off-peak
12/18;6;0.26;Off-peak
12/18;7;0.27;Off-peak
12/18;8;0.72;Off-peak
12/18;9;0.68;Off-peak
12/18;10;0.53;Off-peak
12/18;11;0.4;Off-peak
12/18;12;1.47;Off-peak
12/18;13;0.83;Off-peak
12/18;14;0.59;Off-peak
12/18;15;0.62;Off-peak
12/18;16;0.61;Off-peak
12/18;17;0.67;Off-peak
12/18;18;0.94;Off-peak
12/18;19;0.78;Off-peak
12/18;20;3.35;Off-peak
12/18;21;0.44;Off-peak
12/18;22;0.42;Off-peak
12/18;23;0.39;Off-peak
12/19;0;0.35;Off-peak
12/19;1;0.31;Off-peak
12/19;2;0.28;Off-peak
12/19;3;0.28;Off-peak
12/19;4;0.31;Off-peak
12/19;5;0.3;Off-peak
12/19;6;0.29;Off-peak
12/19;7;0.3;Off-peak
12/19;8;0.32;On-peak
12/19;9;0.26;On-peak
12/19;10;0.35;On-peak
12/19;11;0.35;On-peak
12/19;12;1.56;Mid-peak
12/19;13;0.81;Mid-peak
12/19;14;0.35;Mid-peak
12/19;15;0.37;Mid-peak
12/19;16;0.43;Mid-peak
12/19;17;0.37;Mid-peak
12/19;18;0.29;On-peak
12/19;19;0.31;On-peak
12/19;20;0.67;Off-peak
12/19;21;1.27;Off-peak
12/19;22;1.08;Off-peak
12/19;23;0.46;Off-peak
12/20;0;0.41;Off-peak
12/20;1;0.31;Off-peak
12/20;2;0.29;Off-peak
12/20;3;0.28;Off-peak
12/20;4;0.3;Off-peak
12/20;5;0.42;Off-peak
12/20;6;0.38;Off-peak
12/20;7;0.28;Off-peak
12/20;8;0.28;On-peak
12/20;9;0.31;On-peak
12/20;10;0.38;On-peak
12/20;11;0.4;On-peak
12/20;12;0.34;Mid-peak
12/20;13;0.38;Mid-peak
12/20;14;0.29;Mid-peak
12/20;15;0.25;Mid-peak
12/20;16;0.35;Mid-peak
12/20;17;0.38;Mid-peak
12/20;18;0.59;On-peak
12/20;19;0.5;On-peak
12/20;20;0.5;Off-peak
12/20;21;0.47;Off-peak
12/20;22;0.42;Off-peak
12/20;23;0.41;Off-peak
